match_id,match_date,start_time,patch,duration,radiant_win,match_type,series_id,radiant_hero_1,radiant_hero_2,radiant_hero_3,radiant_hero_4,radiant_hero_5,dire_hero_1,dire_hero_2,dire_hero_3,dire_hero_4,dire_hero_5,weight
8716281634,2026-03-05 04:32:17,1772685137,7.40,1309,1,pro,1071125,11,86,108,27,84,4,62,39,49,112,1.0
8716298661,2026-03-05 05:10:10,1772687410,7.40,1827,1,pro,1071125,63,43,17,19,90,46,129,64,39,84,1.0
8716301516,2026-03-05 05:07:55,1772687275,7.40,1644,0,pro,1071127,41,31,35,26,57,138,129,145,119,30,1.0
8716182793,2026-03-05 01:27:34,1772674054,7.40,1401,0,pro,1071096,31,48,7,84,98,35,108,70,51,5,1.0
8716201258,2026-03-05 02:02:42,1772676162,7.40,1847,1,pro,1071096,35,38,54,100,86,58,46,11,9,104,1.0
8716098788,2026-03-04 22:35:37,1772663737,7.40,1657,1,pro,1071062,81,109,17,86,31,71,11,105,46,84,1.0
8716162766,2026-03-05 00:45:08,1772671508,7.40,1658,0,pro,1071077,84,39,70,37,49,88,110,11,31,47,1.0
8716143048,2026-03-05 00:01:38,1772668898,7.40,1915,1,pro,1071077,102,21,26,42,11,40,84,48,22,29,1.0
8716122399,2026-03-04 23:19:45,1772666385,7.40,1913,1,pro,1071077,81,54,86,155,27,49,75,84,48,19,1.0
8716117857,2026-03-04 23:11:59,1772665919,7.40,3686,0,pro,1071063,68,38,78,26,49,50,106,131,15,155,1.0
8716046885,2026-03-04 21:19:23,1772659163,7.40,1546,0,pro,1071029,35,49,102,86,60,27,81,44,101,39,1.0
8716014945,2026-03-04 20:39:58,1772656798,7.40,1695,0,pro,1071029,54,105,81,26,11,25,46,131,64,42,1.0
8716075051,2026-03-04 21:58:05,1772661485,7.40,1724,0,pro,1071062,14,46,71,101,64,26,29,100,70,11,1.0
8716075163,2026-03-04 22:00:23,1772661623,7.40,2556,1,pro,1071063,64,123,137,56,38,84,13,96,131,11,1.0
8715975683,2026-03-04 20:01:36,1772654496,7.40,1639,0,pro,1071029,1,74,105,87,81,109,14,5,131,17,1.0
8716002024,2026-03-04 20:25:56,1772655956,7.40,1535,0,pro,1071019,71,49,100,47,106,37,34,155,90,38,1.0
8715951786,2026-03-04 19:36:08,1772652968,7.40,1285,1,pro,1071019,58,23,155,90,70,123,96,38,37,126,1.0
8715906828,2026-03-04 18:53:31,1772650411,7.40,1427,1,pro,1070973,136,15,79,11,61,84,92,47,53,135,1.0
8715847635,2026-03-04 18:03:18,1772647398,7.40,1800,0,pro,1070973,5,101,50,28,85,100,79,15,110,11,1.0
8715778218,2026-03-04 17:05:20,1772643920,7.40,1166,1,pro,1070944,79,64,59,137,38,37,56,106,19,15,1.0
8715879907,2026-03-04 18:33:38,1772649218,7.40,1857,0,pro,1070940,74,58,98,11,100,71,90,155,72,87,1.0
8715779483,2026-03-04 17:07:28,1772644048,7.40,3175,1,pro,1070940,52,58,98,46,123,62,106,155,11,45,1.0
8715714910,2026-03-04 16:16:29,1772640989,7.40,1343,1,pro,1070928,73,155,109,145,84,40,18,46,87,108,1.0
8715696686,2026-03-04 16:02:54,1772640174,7.40,1656,0,pro,1070940,58,64,129,72,126,79,14,96,48,83,1.0
8715688346,2026-03-04 16:05:28,1772640328,7.40,2211,1,pro,1070939,10,21,96,64,100,47,59,129,51,87,1.0
8715782720,2026-03-04 17:08:55,1772644135,7.40,3007,1,pro,1070939,11,17,129,64,68,21,59,33,19,50,1.0
8715665878,2026-03-04 15:39:28,1772638768,7.40,1769,0,pro,1070928,21,20,49,104,11,43,129,35,48,64,1.0
8715665245,2026-03-04 15:38:31,1772638711,7.40,1195,0,pro,1070936,19,145,81,91,71,65,46,88,97,83,1.0
8715571742,2026-03-04 14:33:04,1772634784,7.40,2059,1,pro,1070907,74,27,108,37,56,11,51,29,106,79,1.0
8715723376,2026-03-04 16:22:10,1772641330,7.40,1642,0,pro,1070944,73,47,39,131,51,79,83,17,11,28,1.0
8715585233,2026-03-04 14:39:55,1772635195,7.40,2481,0,pro,1070912,23,47,136,65,84,87,19,13,8,15,1.0
8715511156,2026-03-04 13:49:58,1772632198,7.40,1529,0,pro,1070915,86,64,15,11,14,25,2,72,26,5,1.0
8715542709,2026-03-04 14:10:54,1772633454,7.40,2075,1,pro,1070904,96,145,64,100,74,15,136,19,62,131,1.0
8715497663,2026-03-04 13:43:29,1772631809,7.40,1995,0,pro,1070912,47,13,100,56,79,120,89,15,21,84,1.0
8715458697,2026-03-04 13:13:31,1772630011,7.40,1650,0,pro,1070896,22,20,64,155,95,86,135,26,48,83,1.0
8715451187,2026-03-04 13:09:10,1772629750,7.40,2262,0,pro,1070907,13,78,15,19,87,126,100,155,72,37,1.0
8715564771,2026-03-04 14:26:14,1772634374,7.40,1591,1,pro,1070915,42,48,86,27,37,14,126,131,11,26,1.0
8715439066,2026-03-04 13:05:11,1772629511,7.40,2163,1,pro,1070904,33,72,110,19,35,99,11,136,86,128,1.0
8715617709,2026-03-04 15:03:43,1772636623,7.40,1580,0,pro,1070928,38,14,10,11,5,108,35,17,85,20,1.0
8715364764,2026-03-04 11:59:24,1772625564,7.40,1515,0,pro,1070890,40,92,100,65,101,64,110,79,21,17,1.0
8715409608,2026-03-04 12:36:48,1772627808,7.40,1851,0,pro,1070896,53,38,11,75,128,21,25,27,14,87,1.0
8715368686,2026-03-04 12:03:45,1772625825,7.40,1603,0,pro,1070896,56,74,96,27,84,63,25,14,86,111,1.0
8715312956,2026-03-04 11:09:35,1772622575,7.40,2075,1,pro,1070881,29,16,145,37,65,63,13,88,99,64,1.0
8715322096,2026-03-04 11:19:47,1772623187,7.40,1579,1,pro,1070890,47,21,46,79,137,11,97,128,84,28,1.0
8715237261,2026-03-04 09:40:44,1772617244,7.40,1999,1,pro,1070879,74,64,79,11,155,34,22,57,71,145,1.0
8715243676,2026-03-04 09:48:42,1772617722,7.40,1120,0,pro,1070870,58,56,15,128,114,14,98,11,84,19,1.0
8715270131,2026-03-04 10:21:44,1772619704,7.40,1680,1,pro,1070879,128,19,72,155,76,87,11,26,14,129,1.0
8715302266,2026-03-04 10:58:52,1772621932,7.40,1952,0,pro,1070879,75,51,35,14,55,53,11,57,17,111,1.0
8715248552,2026-03-04 10:05:04,1772618704,7.40,2302,0,pro,1070881,138,16,29,88,131,145,155,39,65,37,1.0
8715233780,2026-03-04 09:37:14,1772617034,7.40,2884,0,pro,1070864,56,2,38,101,100,123,23,46,64,15,1.0
8715186044,2026-03-04 08:30:04,1772613004,7.40,2250,0,pro,1070864,2,87,101,38,10,123,23,72,64,129,1.0
8715212974,2026-03-04 09:08:12,1772615292,7.40,1340,0,pro,1070868,61,39,91,66,29,34,25,26,46,110,1.0
8715132667,2026-03-04 07:11:19,1772608279,7.40,1521,1,pro,1070857,35,86,29,49,31,14,26,87,104,70,1.0
8715184389,2026-03-04 08:28:07,1772612887,7.40,1953,1,pro,1070868,110,26,47,145,5,74,8,36,136,155,1.0
8715157958,2026-03-04 07:49:51,1772610591,7.40,1593,1,pro,1070868,39,110,35,131,14,64,43,11,84,26,1.0
8715184825,2026-03-04 08:36:05,1772613365,7.40,3293,1,pro,1070870,86,10,87,155,19,15,76,38,71,131,1.0
8713847628,2026-03-03 06:30:42,1772519442,7.40,1271,0,pro,1070509,49,21,2,35,31,14,12,27,98,37,1.0
8713846761,2026-03-03 06:21:26,1772518886,7.40,1896,0,pro,1070508,39,37,72,86,29,11,129,138,10,34,1.0
8713844351,2026-03-03 06:16:48,1772518608,7.40,2199,0,pro,1070507,52,8,136,77,100,155,70,87,112,19,1.0
8713880699,2026-03-03 07:15:14,1772522114,7.40,2082,1,pro,1070507,65,93,3,21,17,70,100,39,16,64,1.0
8713827907,2026-03-03 05:49:12,1772516952,7.40,1316,0,pro,1070496,106,64,8,49,5,11,28,56,75,20,1.0
8713877985,2026-03-03 07:16:09,1772522169,7.40,3014,0,pro,1070514,108,34,99,100,68,155,47,145,71,33,1.0
8713806977,2026-03-03 05:11:51,1772514711,7.40,1435,1,pro,1070496,25,129,121,17,20,49,38,64,11,84,1.0
8713823880,2026-03-03 05:40:36,1772516436,7.40,1680,1,pro,1070499,10,26,145,21,34,70,86,74,87,55,1.0
8713871822,2026-03-03 07:03:19,1772521399,7.40,1763,1,pro,1070508,97,28,131,46,37,11,64,48,18,104,1.0
8713872859,2026-03-03 07:05:43,1772521543,7.40,1197,1,pro,1070509,108,126,27,15,50,21,101,26,6,49,1.0
8713803252,2026-03-03 05:03:36,1772514216,7.40,1600,0,pro,1070499,8,27,76,26,29,21,119,145,129,30,1.0
8713702048,2026-03-03 01:58:13,1772503093,7.40,1832,1,pro,1070453,114,86,42,49,85,26,11,81,101,54,1.0
8713684584,2026-03-03 01:23:45,1772501025,7.40,1477,0,pro,1070453,39,106,137,5,72,79,59,14,49,87,1.0
8713786475,2026-03-03 04:35:15,1772512515,7.40,1396,1,pro,1070496,41,38,21,22,27,63,129,39,128,50,1.0
8713644671,2026-03-02 23:59:09,1772495949,7.40,1661,0,pro,1070446,55,17,70,51,87,42,105,46,25,128,1.0
8713663168,2026-03-03 00:39:22,1772498362,7.40,1988,0,pro,1070453,79,38,14,54,84,126,21,44,137,26,1.0
8713543599,2026-03-02 21:10:42,1772485842,7.40,1187,1,pro,1062968,21,13,78,23,110,8,47,39,79,85,1.0
8713521583,2026-03-02 20:44:51,1772484291,7.40,1671,1,pro,1070411,35,61,36,27,31,44,49,14,22,19,1.0
8713583005,2026-03-02 22:08:00,1772489280,7.40,1857,0,pro,1070428,26,14,43,82,106,53,64,57,22,94,1.0
8713620038,2026-03-02 23:12:38,1772493158,7.40,2129,1,pro,1070446,21,91,100,39,49,108,48,46,123,5,1.0
8713504347,2026-03-02 20:24:27,1772483067,7.40,1856,1,pro,1070414,65,61,101,76,30,104,100,114,47,64,1.0
8713554111,2026-03-02 21:25:56,1772486756,7.40,1844,1,pro,1070428,128,26,104,9,93,82,106,38,101,84,1.0
8713481706,2026-03-02 20:02:28,1772481748,7.40,1761,0,pro,1070411,48,64,38,11,84,145,2,46,14,5,1.0
8713426609,2026-03-02 19:10:31,1772478631,7.40,3299,1,pro,1070388,101,63,16,78,83,19,52,47,38,119,1.0
8713354963,2026-03-02 18:13:43,1772475223,7.40,2186,1,pro,1070360,18,126,136,100,68,155,63,17,129,123,1.0
8713353791,2026-03-02 18:07:36,1772474856,7.40,2257,1,pro,1070334,136,15,70,58,137,84,51,106,108,11,1.0
8713281922,2026-03-02 17:09:57,1772471397,7.40,1874,0,pro,1070334,70,43,63,96,83,19,98,58,46,137,1.0
8713288493,2026-03-02 17:19:02,1772471942,7.40,2182,0,pro,1070301,10,28,129,131,83,51,1,37,15,19,1.0
8713256150,2026-03-02 16:54:46,1772470486,7.40,3125,0,pro,1070326,19,17,55,46,64,39,56,29,50,136,1.0
8713217354,2026-03-02 16:19:22,1772468362,7.40,1646,1,pro,1070283,100,79,43,138,137,119,99,37,97,96,1.0
8713196253,2026-03-02 16:07:48,1772467668,7.40,1478,1,pro,1070301,41,129,46,131,19,11,126,2,101,79,1.0
8713191148,2026-03-02 16:00:21,1772467221,7.40,2116,1,pro,1070286,87,32,25,11,21,40,93,53,38,83,1.0
8713157974,2026-03-02 15:40:28,1772466028,7.40,2508,1,pro,1070298,123,21,13,29,110,54,136,35,129,65,1.0
8713155378,2026-03-02 15:32:45,1772465565,7.40,1954,0,pro,1070283,4,39,5,101,65,136,137,58,64,25,1.0
8713088125,2026-03-02 14:46:26,1772462786,7.40,1708,0,pro,1070286,128,155,57,20,15,21,129,13,58,37,1.0
8713082143,2026-03-02 14:42:42,1772462562,7.40,2046,0,pro,1070283,21,37,137,85,54,47,97,30,96,86,1.0
8713084185,2026-03-02 14:43:07,1772462587,7.40,2167,1,pro,1070284,126,46,155,136,37,68,107,14,98,49,1.0
8713031609,2026-03-02 14:09:32,1772460572,7.40,1540,0,pro,1070266,36,129,48,5,26,25,29,70,86,64,1.0
8713143245,2026-03-02 15:24:16,1772465056,7.40,1660,0,pro,1070286,108,21,106,86,84,26,74,23,38,31,1.0
8713087258,2026-03-02 14:47:05,1772462825,7.40,1556,1,pro,1070255,128,46,14,87,100,70,49,15,123,64,1.0
8712928370,2026-03-02 13:02:51,1772456571,7.40,2943,0,pro,1070255,63,106,110,136,87,64,17,28,70,79,1.0
8712977359,2026-03-02 13:35:07,1772458507,7.40,2865,0,pro,1070237,55,100,87,38,126,23,11,110,136,83,1.0
8712972912,2026-03-02 13:31:52,1772458312,7.40,1795,1,pro,1070266,106,84,26,95,5,86,129,40,35,37,1.0
8712910745,2026-03-02 12:49:19,1772455759,7.40,1689,0,pro,1070243,15,129,11,121,37,21,36,99,131,84,1.0
8712915341,2026-03-02 12:51:44,1772455904,7.40,1739,0,pro,1070235,74,87,48,129,20,19,35,21,108,14,1.0
8712904043,2026-03-02 12:43:16,1772455396,7.40,1646,0,pro,1070237,72,63,38,126,37,65,87,10,155,16,1.0
8712808965,2026-03-02 11:26:29,1772450789,7.40,1593,1,pro,1070235,11,25,131,101,129,44,110,100,20,13,1.0
8712921355,2026-03-02 13:08:21,1772456901,7.40,2322,1,pro,1070254,145,47,108,79,100,37,15,25,123,129,1.0
8712821261,2026-03-02 11:37:26,1772451446,7.40,2401,0,pro,1070237,108,3,136,106,21,78,70,74,63,100,1.0
8712859441,2026-03-02 12:09:52,1772453392,7.40,1860,1,pro,1070243,11,35,69,21,84,94,129,25,128,155,1.0
8712859357,2026-03-02 12:09:44,1772453384,7.40,1918,1,pro,1070235,75,100,129,11,90,14,74,99,110,131,1.0
8712768140,2026-03-02 10:41:39,1772448099,7.40,1915,1,pro,1070222,66,15,74,29,131,36,22,100,26,11,1.0
8712734828,2026-03-02 10:02:29,1772445749,7.40,1628,1,pro,1070222,34,137,31,86,93,63,43,57,15,37,1.0
8712705855,2026-03-02 09:26:23,1772443583,7.40,2415,0,pro,1070208,49,15,27,96,110,19,106,11,64,78,1.0
8712759813,2026-03-02 10:31:45,1772447505,7.40,2383,1,pro,1070223,79,11,78,72,26,33,100,64,145,19,1.0
8712698632,2026-03-02 09:15:49,1772442949,7.40,1891,1,pro,1070222,75,39,14,8,49,34,129,131,46,26,1.0
8712704481,2026-03-02 09:23:57,1772443437,7.40,2268,0,pro,1070223,65,136,87,17,46,37,38,119,41,137,1.0
8712634372,2026-03-02 07:45:01,1772437501,7.40,1678,0,pro,1070207,100,110,72,23,37,120,47,64,11,86,1.0
8712662060,2026-03-02 08:25:57,1772439957,7.40,1870,1,pro,1070207,19,48,25,34,26,79,86,15,10,37,1.0
8712667549,2026-03-02 08:32:56,1772440376,7.40,1794,1,pro,1070208,27,17,138,64,96,11,110,13,71,29,1.0
